LGA_Area ,Accidents,Population,Rate
ALPINE,39,12814,0.003043546
ARARAT,22,11845,0.001857324
BALLARAT,212,109505,0.001935985
BANYULE,187,131631,0.001420638
BASS COAST,56,36320,0.00154185
BAW BAW,122,53396,0.002284815
BAYSIDE,121,106862,0.001132301
BENALLA,28,14037,0.001994728
BOROONDARA,249,183199,0.001359178
BRIMBANK,350,209523,0.001670461
BULOKE,12,6124,0.001959504
CAMPASPE,64,37622,0.001701132
CARDINIA,174,112159,0.001551369
CASEY,473,353872,0.001336641
CENTRAL GOLDFIELDS,24,13186,0.001820112
COLAC OTWAY,94,21564,0.004359117
CORANGAMITE,32,16020,0.001997503
DAREBIN,290,164184,0.001766311
EAST GIPPSLAND,108,47316,0.002282526
FRANKSTON,195,142643,0.001367049
GANNAWARRA,30,10472,0.002864782
GLEN EIRA,239,156511,0.001527049
GLENELG,41,19674,0.002083969
GOLDEN PLAINS,54,23722,0.002276368
GREATER BENDIGO,54,118093,0.000457267
GREATER DANDENONG,54,168201,0.000321044
GREATER GEELONG,54,258934,0.000208547
GREATER SHEPPARTON,54,66498,0.000812054
HEPBURN,46,15975,0.002879499
HINDMARSH,13,5588,0.002326414
HOBSONS BAY,147,97751,0.001503821
HORSHAM,36,19921,0.001807138
HUME,389,233471,0.00166616
INDIGO,33,16701,0.00197593
KINGSTON,279,165782,0.001682933
KNOX,217,164538,0.001318844
LATROBE,123,75561,0.001627824
LODDON,14,7504,0.001865672
MACEDON RANGES,83,50231,0.001652366
MANNINGHAM,167,127573,0.001309054
MANSFIELD,43,9176,0.004686138
MARIBYRNONG,145,93448,0.001551665
MAROONDAH,151,118558,0.001273638
MELBOURNE,625,178955,0.003492498
MELTON,197,164895,0.0011947
MILDURA,74,55777,0.001326712
MITCHELL,123,46082,0.002669155
MOIRA,48,29925,0.00160401
MONASH,311,202847,0.001533175
MOONEE VALLEY,196,130294,0.00150429
MOORABOOL,80,35049,0.002282519
MORELAND,357,185767,0.001921762
MORNINGTON PENINSULA,223,167636,0.001330263
MOUNT ALEXANDER,30,19754,0.00151868
MOYNE,44,16953,0.002595411
MURRINDINDI,71,14570,0.004873027
NILLUMBIK,113,65094,0.001735951
NORTHERN GRAMPIANS,32,11402,0.002806525
PORT PHILLIP,221,115601,0.001911748
PYRENEES,21,7472,0.002810493
QUEENSCLIFFE,1,2940,0.000340136
SOUTH GIPPSLAND,77,29914,0.002574046
SOUTHERN GRAMPIANS,30,16100,0.001863354
STONNINGTON,220,117768,0.00186808
STRATHBOGIE,37,10781,0.003431964
SURF COAST,78,33456,0.00233142
SWAN HILL,32,20649,0.001549712
TOWONG,32,6040,0.005298013
WANGARATTA,64,29187,0.002192757
WARRNAMBOOL,41,35181,0.001165402
WELLINGTON,97,44380,0.002185669
WEST WIMMERA,11,3841,0.002863838
WHITEHORSE,236,178739,0.001320361
WHITTLESEA,337,230238,0.001463703
WODONGA,46,42083,0.001093078
WYNDHAM,261,270487,0.000964926
YARRA,278,101495,0.002739051
YARRA RANGES,285,159462,0.00178726
YARRIAMBIACK,8,6639,0.001205001
